Solamente esta exento de fracasos el que no hace esfuerzos, RICHARD WHATELY
Sentirse fracasado es peor que sentirse humillado; de la humillación nace el coraje, del fracaso, el suicidio, ANTOINE DE SAINT EXUPERY
Un fracasado es un hombre que ha cometido un error, pero que no es capaz de convertirlo en experiencia, ELBERT HUBBARD
Para esquivar la derrota no existe arsenal ni arma en el mundo tan formidable como la voluntad y el valor moral de los hombres libres, RONALD REAGAN
Quien teme perder ya esta vencido, RAY BRADBURY
